pub_id,pub_name,pub_email,pub_contact_number
79,Penguin Books Ltd. (London),penguin_books_ltd._(london)@gmail.com,9505109862
80,Simon Schuster,simon__schuster@gmail.com,8083027676
81,Filiquarian Publishing LLC.,filiquarian_publishing__llc.@gmail.com,7291146848
82,Lerner Publications,lerner_publications@gmail.com,7945132480
83,Listening Library (Audio),listening_library_(audio)@gmail.com,9389146554
84,Random House,random_house@gmail.com,6229805881
85,Large Print Press,large_print_press@gmail.com,9810693369
86,Peachpit Press,peachpit_press@gmail.com,5615240992
87,Bantam,bantam@gmail.com,7537722050
88,HarperTorch,harpertorch@gmail.com,5611254389
89,Haynes Manuals N. America Inc.,haynes_manuals_n._america__inc.@gmail.com,6441509928
90,Signet Book,signet_book@gmail.com,8823002221
91,Dutton,dutton@gmail.com,8216962634
92,NAL,nal@gmail.com,9792257136
93,Random House Trade Paperbacks,random_house_trade_paperbacks@gmail.com,7254245460
94,Lyons Press,lyons_press@gmail.com,9516992205
95,Alliance Publishing,alliance_publishing@gmail.com,9226005095
96,Alfred A. Knopf,alfred_a._knopf@gmail.com,8134921277
97,Dey Street Books,dey_street_books@gmail.com,9947359148
98,Vintage Books USA,vintage_books_usa@gmail.com,7083769069
99,Mariner Books,mariner_books@gmail.com,6631510486
100,Avon,avon@gmail.com,8308653510
101,Payot,payot@gmail.com,6293046690
102,HarperCollins Perennial,harpercollins_perennial@gmail.com,6069051125
103,Basic Books,basic_books@gmail.com,9115541862
104,It Books,it_books@gmail.com,7571780536
105,Random House Large Print Publishing,random_house_large_print_publishing@gmail.com,6207621722
106,Moody Publishers,moody_publishers@gmail.com,9461796421
107,Umbriel,umbriel@gmail.com,9409540499
108,Anchor,anchor@gmail.com,9989066768
109,Corgi Books,corgi_books@gmail.com,8408424553
110,Bantam Press,bantam_press@gmail.com,9339609040
111,Pinnacle,pinnacle@gmail.com,9345308838
112,Tarcherperigee,tarcherperigee@gmail.com,7303482607
113,High Roads Media,high_roads_media@gmail.com,9767682824
114,Pragmatic Bookshelf,pragmatic_bookshelf@gmail.com,8469816382
115,Firebrand Books,firebrand_books@gmail.com,5935134070
116,Berkley Books,berkley_books@gmail.com,7394405858
117,Recorded Books Inc.,recorded_books__inc.@gmail.com,6924268934
118,University of Chicago Press,university_of_chicago_press@gmail.com,7180077475
119,Howard Publishing Co,howard_publishing_co@gmail.com,5700343411
120,Zondervan,zondervan@gmail.com,9706505299
121,Delta,delta@gmail.com,9432316080
122,High Point Media,high_point_media@gmail.com,7740001139
123,Red Dress Ink,red_dress_ink@gmail.com,8106403171
124,Walker & Company,walker_&_company@gmail.com,8713682674
125,Clarkson Potter,clarkson_potter@gmail.com,5647721181
126,Putnam Publishing Group,putnam_publishing_group@gmail.com,7137615905
127,Mariner Books / Harvest Books,mariner_books_/_harvest_books@gmail.com,9320697696
128,Anchor Books,anchor_books@gmail.com,9298905878
129,Lulu.com,lulu.com@gmail.com,9480210865
130,Business Plus,business_plus@gmail.com,8132797069
131,Prentice Hall,prentice_hall@gmail.com,5945221549
132,Little Brown,little__brown@gmail.com,9114087949
133,Harper Paperbacks,harper_paperbacks@gmail.com,7719214859
134,HarperAudio,harperaudio@gmail.com,6930991678
135,Crown Publishing Group,crown_publishing_group@gmail.com,8275205175
136,W. W. Norton Company,w._w._norton__company@gmail.com,6243250804
137,BradyGames,bradygames@gmail.com,9752893303
138,Tor Classics,tor_classics@gmail.com,9484831344
139,Doubleday Books,doubleday_books@gmail.com,9450592382
140,Atelos Press,atelos_press@gmail.com,6487386481
141,Harvard Common Press,harvard_common_press@gmail.com,7172222161
142,Gramercy,gramercy@gmail.com,7590450115
143,HarperOne,harperone@gmail.com,9771214883
144,Cliffs Notes,cliffs_notes@gmail.com,6031810362
145,Bryn Mawr Commentaries,bryn_mawr_commentaries@gmail.com,6652568058
146,Dover Publications,dover_publications@gmail.com,7613036436
147,Bristol Classical Press,bristol_classical_press@gmail.com,9220657276
148,Oxford University Press,oxford_university_press@gmail.com,8755179496
149,Little Brown and Company,little_brown_and_company@gmail.com,8480213112
150,Simon Schuster,simon_schuster@gmail.com,9940108111
151,Berrett-Koehler Publishers,berrett-koehler_publishers@gmail.com,9205965290
152,Anagrama,anagrama@gmail.com,5603207527
153,Seix Barral,seix_barral@gmail.com,6761246125
154,University of California Press,university_of_california_press@gmail.com,5827529993
155,Oxford University Press USA,oxford_university_press__usa@gmail.com,8862650543
156,Ecco Press,ecco_press@gmail.com,9304365230
157,Santillana USA Publishing Company,santillana_usa_publishing_company@gmail.com,6488013424
158,University of Oklahoma Press,university_of_oklahoma_press@gmail.com,6348770740
159,Tarcher,tarcher@gmail.com,6764110890
160,W.W. Norton,w.w._norton@gmail.com,6296558526
161,North Point Press,north_point_press@gmail.com,5951726321
162,Thomas Nelson,thomas_nelson@gmail.com,7356798164
163,Warner Books (NY),warner_books_(ny)@gmail.com,8206329174
164,Jove,jove@gmail.com,5936195579
165,Libraries Unlimited,libraries_unlimited@gmail.com,5673159509
166,Owl Books (Henry Holt),owl_books_(henry_holt)@gmail.com,9037823427
167,Farrar Straus and Giroux (NY),farrar__straus_and_giroux_(ny)@gmail.com,6394755040
168,Planeta Publishing,planeta_publishing@gmail.com,9597575129
169,Signet Classics,signet_classics@gmail.com,5943772560
170,Collector's Library,collector's_library@gmail.com,6673311064
171,Spark Publishing,spark_publishing@gmail.com,7679707462
172,Egmont Books Ltd,egmont_books_ltd@gmail.com,6889897773
173,Touchstone,touchstone@gmail.com,9415533587
174,Viking,viking@gmail.com,9865024718
175,HarperCollins Publishers,harpercollins_publishers@gmail.com,9645230071
176,Arthur A. Levine,arthur_a._levine@gmail.com,5586417274
177,Bloomsbury Academic,bloomsbury_academic@gmail.com,8247176831
178,Bloomsbury Publishing,bloomsbury_publishing@gmail.com,5677832473
179,Bloomsbury Methuen Drama,bloomsbury_methuen_drama@gmail.com,8774546404
180,Vintage Crime/Black Lizard,vintage_crime/black_lizard@gmail.com,6511198844
181,Vintage Crime,vintage_crime@gmail.com,7670173983
182,Plume Books,plume_books@gmail.com,8967367152
183,BBC Worldwide,bbc_worldwide@gmail.com,9834565217
184,Viking Books,viking_books@gmail.com,9658033998
185,MIT Press,mit_press@gmail.com,6457211388
186,Bantam Books,bantam_books@gmail.com,6550694846
187,Running Press Book Publishers,running_press_book_publishers@gmail.com,6881912693
188,Batsford,batsford@gmail.com,9682895273
189,Little Brown and Company,little__brown_and_company@gmail.com,6657251069
190,G.P. Putnam's Sons,g.p._putnam's_sons@gmail.com,6017105644
191,Simon & Schuster Paperbacks,simon_&_schuster_paperbacks@gmail.com,6308278942
192,For Dummies,for_dummies@gmail.com,8969332921
193,John Wiley & Sons,john_wiley_&_sons@gmail.com,6609733297
194,Simple Productions,simple_productions@gmail.com,5905752042
195,Free Press,free_press@gmail.com,7952031914
196,HJ Kramer,hj_kramer@gmail.com,9761619521
197,Modern Library,modern_library@gmail.com,9502931424
198,Fawcett,fawcett@gmail.com,9049425353
199,Rutgers University Press,rutgers_university_press@gmail.com,5574898517
200,Dell Yearling,dell_yearling@gmail.com,6010448721
201,Phoenix Audio,phoenix_audio@gmail.com,8461470305
202,Penguin Books Australia Ltd.,penguin_books_australia_ltd.@gmail.com,8975363600
203,Peter Smith Publisher,peter_smith_publisher@gmail.com,8839538177
204,Two Lions,two_lions@gmail.com,7808465367
205,Punto de Lectura,punto_de_lectura@gmail.com,8308733376
206,Inner City Books,inner_city_books@gmail.com,8653052719
207,University of Illinois Press,university_of_illinois_press@gmail.com,9536885170
208,University Press of Kansas,university_press_of_kansas@gmail.com,6188775978
209,Jove Books,jove_books@gmail.com,6713831808
210,Vacation Work Publications,vacation_work_publications@gmail.com,9177877182
211,Hampton Roads Publishing Company,hampton_roads_publishing_company@gmail.com,6310263462
212,Everyman's Library,everyman's_library@gmail.com,9416725819
213,Crossroad,crossroad@gmail.com,6885205132
214,Castle Books,castle_books@gmail.com,9563947823
215,Prima Lifestyles,prima_lifestyles@gmail.com,9356088573
216,Washington Square Press,washington_square_press@gmail.com,5752005673
217,A K PETERS,a_k_peters@gmail.com,5803892917
218,Bloomsbury Publishing PLC,bloomsbury_publishing_plc@gmail.com,5802344524
219,Health Communications Inc,health_communications_inc@gmail.com,8809510446
220,Thames Hudson,thames__hudson@gmail.com,6424134574
221,Duke University Press Books,duke_university_press_books@gmail.com,6475154816
222,Berkley Trade,berkley_trade@gmail.com,8555991675
223,Crown Publishing Group (NY),crown_publishing_group_(ny)@gmail.com,9243815312
224,Dell,dell@gmail.com,7488935847
225,Shaw Books,shaw_books@gmail.com,8207054457
226,Kessinger Publishing,kessinger_publishing@gmail.com,5716323822
227,Roxford Books,roxford_books@gmail.com,5758723193
228,Clarion Books,clarion_books@gmail.com,8847633876
229,Dutton Juvenile,dutton_juvenile@gmail.com,9375042502
230,TSR,tsr@gmail.com,5937193985
231,Doubleday,doubleday@gmail.com,8118167624
232,List,list@gmail.com,9477560097
233,VIZ Media LLC,viz_media_llc@gmail.com,7203264752
234,Harlequin Romance,harlequin_romance@gmail.com,7235511365
235,Diogenes,diogenes@gmail.com,7753472302
236,Shueisha,shueisha@gmail.com,8557481517
237,Glénat,glénat@gmail.com,6404187770
238,Yearling,yearling@gmail.com,9199265887
239,Ann Arbor Media,ann_arbor_media@gmail.com,9661080575
240,Children's Classics,children's_classics@gmail.com,8107984627
241,David R. Godine Publisher,david_r._godine_publisher@gmail.com,7829914978
242,Basic Books (AZ),basic_books_(az)@gmail.com,6833974317
243,Encounter Books,encounter_books@gmail.com,6867396012
244,Alcoholics Anonymous World Services Inc,alcoholics_anonymous_world_services_inc@gmail.com,7167065218
245,AA World Services,aa_world_services@gmail.com,5849480918
246,Overeaters Anonymous Incorporated,overeaters_anonymous__incorporated@gmail.com,8316466515
247,University Press of Mississippi,university_press_of_mississippi@gmail.com,9959189757
248,Insel Frankfurt,insel__frankfurt@gmail.com,9001013302
249,Digireads.com,digireads.com@gmail.com,6437695462
250,Penguin Press HC The,penguin_press_hc__the@gmail.com,7407179277
251,Scholastic Books,scholastic_books@gmail.com,7542711095
252,Simon and Schuster,simon_and_schuster@gmail.com,6131056803
253,Hodder,hodder@gmail.com,7218367226
254,St. Martin's Griffin,st._martin's_griffin@gmail.com,6134234563
255,HarperCollins Espanol,harpercollins_espanol@gmail.com,6396362407
256,Faber Faber,faber__faber@gmail.com,8446848751
257,Random House Trade,random_house_trade@gmail.com,7178643103
258,New Riders Publishing,new_riders_publishing@gmail.com,6433480445
259,ReganBooks,reganbooks@gmail.com,6883925241
260,Avon Books,avon_books@gmail.com,6926216430
261,Wings,wings@gmail.com,9011438728
262,William Morrow & Company (NYC),william_morrow_&_company_(nyc)@gmail.com,9340537232
263,Hyperion,hyperion@gmail.com,8383325695
264,Red Fox,red_fox@gmail.com,8260319848
265,Doubleday Canada,doubleday_canada@gmail.com,6497272636
